title,total,price,qu,lu,xiaoqu,huxing,louceng,mianji,taoneimianji,jianzhuleixing,chaoxiang,jianchengniandai,zhuangxiuqingkuang,jianzhujiegou,gongnuanfangshi,tihubili,dianti,jiaoyishuxing,fangwuyongtu,chanquannianxian
阳二小区1室1厅36.86平米_上海阳二小区二手房成交房源(上海链家),200,54260,浦东,洋泾,阳二小区,1室1厅1厨1卫,高楼层(共6层),36.86㎡,平层,板楼,南,1994,简装,砖混结构,,一梯四户,无,商品房,普通住宅,暂无数据
泗塘三村1室1厅28.52平米_上海泗塘三村二手房成交房源(上海链家),146,51193,宝山,张庙,泗塘三村,1室1厅1厨1卫,低楼层(共5层),28.52㎡,平层,板楼,南,1985,精装,砖混结构,,一梯四户,无,商品房,普通住宅,暂无数据
华高一村2室1厅77.27平米_上海华高一村二手房成交房源(上海链家),312,40378,浦东,高行,华高一村,2室1厅1厨1卫,高楼层(共6层),77.27㎡,平层,板楼,南,1994,简装,砖混结构,,一梯两户,无,商品房,普通住宅,暂无数据
田林十二村1室1厅32.15平米_上海田林十二村二手房成交房源(上海链家),306,95179,徐汇,田林,田林十二村,1室1厅1厨1卫,低楼层(共7层),32.15㎡,平层,板楼,南,1987,简装,钢混结构,,一梯四户,无,商品房,普通住宅,暂无数据
合生城邦四街坊2室2厅90.2平米_上海合生城邦四街坊二手房成交房源(上海链家),321,35588,闵行,老闵行,合生城邦四街坊,2室2厅1厨1卫,低楼层(共18层),90.2㎡,平层,板楼,南北,2012,精装,钢混结构,,两梯三户,有,商品房,普通住宅,暂无数据
长春小区2室1厅66.35平米_上海长春小区二手房成交房源(上海链家),455,68576,徐汇,田林,长春小区,2室1厅0厨1卫,中楼层(共6层),66.35㎡,平层,板楼,南,1994,精装,砖混结构,,一梯两户,无,商品房,普通住宅,暂无数据
景舒苑一村1室1厅49.14平米_上海景舒苑一村二手房成交房源(上海链家),216,43957,闵行,浦江,景舒苑一村,1室1厅1厨1卫,高楼层(共6层),49.14㎡,平层,板楼,南北,2005,简装,钢混结构,,一梯两户,无,商品房,普通住宅,暂无数据
田林十二村2室1厅47.63平米_上海田林十二村二手房成交房源(上海链家),411,86291,徐汇,田林,田林十二村,2室1厅1厨1卫,中楼层(共6层),47.63㎡,平层,板楼,南,1985,简装,砖混结构,,一梯四户,无,商品房,普通住宅,暂无数据
阳光威尼斯(三期)3室1厅90.49平米_上海阳光威尼斯(三期)二手房成交房源(上海链家),386,42657,普陀,真光,阳光威尼斯(三期),3室1厅1厨1卫,中楼层(共26层),90.49㎡,平层,板楼,东南北,2006,简装,钢混结构,,两梯五户,有,商品房,普通住宅,暂无数据
新长小区1室0厅34.98平米_上海新长小区二手房成交房源(上海链家),176,50315,普陀,甘泉宜川,新长小区,1室0厅1厨1卫,中楼层(共6层),34.98㎡,平层,板楼,南,1993,简装,砖混结构,,一梯五户,无,商品房,普通住宅,暂无数据
圣陶沙花园(公寓)3室2厅107.6平米_上海圣陶沙花园(公寓)二手房成交房源(上海链家),525,48792,闵行,莘庄,圣陶沙花园(公寓),3室2厅1厨1卫,低楼层(共9层),107.6㎡,平层,板楼,南,2001,精装,钢混结构,,一梯两户,有,商品房,普通住宅,暂无数据
中恒苑2室1厅92.56平米_上海中恒苑二手房成交房源(上海链家),492,53155,徐汇,植物园,中恒苑,2室1厅1厨1卫,中楼层(共6层),92.56㎡,平层,板楼,南,1998,简装,砖混结构,,一梯两户,无,商品房,普通住宅,暂无数据
绿地领海(商业类)3室2厅50.95平米_上海绿地领海(商业类)二手房成交房源(上海链家),109,21394,宝山,上大,绿地领海(商业类),3室2厅0厨2卫,中楼层(共18层),50.95㎡,暂无数据,塔楼,北,未知,精装,钢混结构,,二十梯十五户,有,商品房,商业办公类,暂无数据
竹园公寓2室1厅77.43平米_上海竹园公寓二手房成交房源(上海链家),207,26734,嘉定,菊园新区,竹园公寓,2室1厅1厨1卫,中楼层(共6层),77.43㎡,平层,板楼,南,1994,简装,砖混结构,,一梯两户,无,商品房,普通住宅,暂无数据
贝尚湾(公寓)1室2厅64.77平米_上海贝尚湾(公寓)二手房成交房源(上海链家),337,52031,松江,九亭,贝尚湾(公寓),1室2厅0厨1卫,中楼层(共16层),64.77㎡,平层,板楼,南,2012,精装,钢混结构,,两梯四户,有,商品房,普通住宅,暂无数据
红明二村2室1厅61.48平米_上海红明二村二手房成交房源(上海链家),304,49366,闵行,静安新城,红明二村,2室1厅1厨1卫,高楼层(共6层),61.48㎡,平层,板楼,南,1994,精装,砖混结构,,一梯四户,无,商品房,普通住宅,暂无数据
樱花坊2室1厅73.87平米_上海樱花坊二手房成交房源(上海链家),613,82984,浦东,花木,樱花坊,2室1厅1厨1卫,低楼层(共6层),73.87㎡,平层,板楼,南,1995,精装,砖混结构,,一梯两户,无,商品房,普通住宅,暂无数据
临港海滨国际花园2室2厅86.16平米_上海临港海滨国际花园二手房成交房源(上海链家),193,22401,浦东,临港新城,临港海滨国际花园,2室2厅1厨1卫,中楼层(共12层),86.16㎡,平层,板楼,东,2011,精装,钢混结构,,一梯五户,有,商品房,普通住宅,暂无数据
江海二村(奉贤)2室2厅86.27平米_上海江海二村(奉贤)二手房成交房源(上海链家),138,15997,奉贤,南桥,江海二村(奉贤),2室2厅1厨1卫,中楼层(共6层),86.27㎡,平层,板楼,南,1995,毛坯,砖混结构,,一梯两户,无,商品房,普通住宅,暂无数据
蔚蓝城市花园2室2厅95.94平米_上海蔚蓝城市花园二手房成交房源(上海链家),708,73797,闵行,古美,蔚蓝城市花园,2室2厅1厨1卫,中楼层(共14层),95.94㎡,暂无数据,板楼,南,2004,精装,钢混结构,,一梯两户,有,商品房,普通住宅,暂无数据
沧源小区2室1厅55.04平米_上海沧源小区二手房成交房源(上海链家),223,40516,闵行,老闵行,沧源小区,2室1厅1厨1卫,高楼层(共6层),55.04㎡,暂无数据,板楼,南,1994,简装,砖混结构,,一梯三户,无,商品房,普通住宅,暂无数据
仁恒运杰河滨花园1室2厅78.17平米_上海仁恒运杰河滨花园二手房成交房源(上海链家),262,33517,青浦,夏阳,仁恒运杰河滨花园,1室2厅1厨1卫,中楼层(共18层),78.17㎡,平层,板楼,南,2010,其他,钢混结构,,两梯四户,有,商品房,普通住宅,暂无数据
御沁园(公寓)3室2厅115.45平米_上海御沁园(公寓)二手房成交房源(上海链家),610,52837,浦东,周浦,御沁园(公寓),3室2厅1厨2卫,高楼层(共21层),115.45㎡,暂无数据,板楼,南,2013,毛坯,钢混结构,,两梯三户,有,商品房,普通住宅,暂无数据
