,title,total,price,qu,lu,xiaoqu,huxing,louceng,mianji,taoneimianji,jianzhuleixing,chaoxiang,jianchengniandai,zhuangxiuqingkuang,jianzhujiegou,gongnuanfangshi,tihubili,dianti,jiaoyishuxing,fangwuyongtu,chanquannianxian,lng,lat,height,shi,ting,chu,wei
0,阳二小区1室1厅36.86平米_上海阳二小区二手房成交房源(上海链家),200,54260,浦东,洋泾,阳二小区,1室1厅1厨1卫,6,36.86,平层,板楼,南,1994,简装,砖混结构,,0.25,无,商品房,普通住宅,暂无数据,108.84937884704755,34.53331653276832,高,1.0,1.0,1.0,1.0
1,泗塘三村1室1厅28.52平米_上海泗塘三村二手房成交房源(上海链家),146,51193,宝山,张庙,泗塘三村,1室1厅1厨1卫,5,28.52,平层,板楼,南,1985,精装,砖混结构,,0.25,无,商品房,普通住宅,暂无数据,121.46057500835332,31.34013384520378,低,1.0,1.0,1.0,1.0
2,华高一村2室1厅77.27平米_上海华高一村二手房成交房源(上海链家),312,40378,浦东,高行,华高一村,2室1厅1厨1卫,6,77.27,平层,板楼,南,1994,简装,砖混结构,,0.5,无,商品房,普通住宅,暂无数据,121.40864773970463,30.884386816682355,高,2.0,1.0,1.0,1.0
3,田林十二村1室1厅32.15平米_上海田林十二村二手房成交房源(上海链家),306,95179,徐汇,田林,田林十二村,1室1厅1厨1卫,7,32.15,平层,板楼,南,1987,简装,钢混结构,,0.25,无,商品房,普通住宅,暂无数据,121.43522312008126,31.17817034021972,低,1.0,1.0,1.0,1.0
4,合生城邦四街坊2室2厅90.2平米_上海合生城邦四街坊二手房成交房源(上海链家),321,35588,闵行,老闵行,合生城邦四街坊,2室2厅1厨1卫,18,90.2,平层,板楼,南北,2012,精装,钢混结构,,0.6666666666666666,有,商品房,普通住宅,暂无数据,121.41197003280274,31.026273845431156,低,2.0,2.0,1.0,1.0
5,长春小区2室1厅66.35平米_上海长春小区二手房成交房源(上海链家),455,68576,徐汇,田林,长春小区,2室1厅0厨1卫,6,66.35,平层,板楼,南,1994,精装,砖混结构,,0.5,无,商品房,普通住宅,暂无数据,121.4285830254126,31.190205790178446,中,2.0,1.0,0.0,1.0
6,景舒苑一村1室1厅49.14平米_上海景舒苑一村二手房成交房源(上海链家),216,43957,闵行,浦江,景舒苑一村,1室1厅1厨1卫,6,49.14,平层,板楼,南北,2005,简装,钢混结构,,0.5,无,商品房,普通住宅,暂无数据,121.38861193361008,31.118842580087428,高,1.0,1.0,1.0,1.0
7,田林十二村2室1厅47.63平米_上海田林十二村二手房成交房源(上海链家),411,86291,徐汇,田林,田林十二村,2室1厅1厨1卫,6,47.63,平层,板楼,南,1985,简装,砖混结构,,0.25,无,商品房,普通住宅,暂无数据,121.43522312008126,31.17817034021972,中,2.0,1.0,1.0,1.0
8,阳光威尼斯(三期)3室1厅90.49平米_上海阳光威尼斯(三期)二手房成交房源(上海链家),386,42657,普陀,真光,阳光威尼斯(三期),3室1厅1厨1卫,26,90.49,平层,板楼,东南北,2006,简装,钢混结构,,0.4,有,商品房,普通住宅,暂无数据,121.37393937073232,31.26628940562657,中,3.0,1.0,1.0,1.0
9,新长小区1室0厅34.98平米_上海新长小区二手房成交房源(上海链家),176,50315,普陀,甘泉宜川,新长小区,1室0厅1厨1卫,6,34.98,平层,板楼,南,1993,简装,砖混结构,,0.2,无,商品房,普通住宅,暂无数据,110.17541306458482,36.056397437854244,中,1.0,0.0,1.0,1.0
10,圣陶沙花园(公寓)3室2厅107.6平米_上海圣陶沙花园(公寓)二手房成交房源(上海链家),525,48792,闵行,莘庄,圣陶沙花园(公寓),3室2厅1厨1卫,9,107.6,平层,板楼,南,2001,精装,钢混结构,,0.5,有,商品房,普通住宅,暂无数据,121.37664946862536,31.138151875553298,低,3.0,2.0,1.0,1.0
